,,Ladder score,Social support,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,xy,x2,y2,,(x - x?),(y - y? ),(x - x?)(y - y? ),(x - x?)2,(y - y? )2,,,,,,,,,,,
,1.38553,,0.04547,0.002067521,0.20541,0.042193268,-0.007272472,,0.248424643,0.061714803,-0.04547,0.002067521,,,,,,,,,,,,,
,1.38507,,-0.03707,0.001374185,-0.08254,0.006812852,-0.001685573,,0.247964643,0.061486464,0.03707,0.001374185,,,,,,,,,,,,,
,1.38162,,-0.02062,0.000425184,0.01645,0.000270602,0.000764383,,0.244514643,0.059787411,0.02062,0.000425184,,,,,,,,,,,,,
,1.37403,,-0.09703,0.009414821,-0.07641,0.005838488,0.002000759,,0.236924643,0.056133286,0.09703,0.009414821,,,,,,,,,,,,,
,1.36529,,-0.00429,1.84E-05,0.09274,0.008600708,0.000416259,,0.228184643,0.052068231,0.00429,1.84E-05,,,,,,,,,,,,,
,1.36069,,-0.01469,0.000215796,-0.0104,0.00010816,6.30E-05,,0.223584643,0.049990093,0.01469,0.000215796,,,,,,,,,,,,,
,1.35793,,-0.12193,0.014866925,-0.10724,0.011500418,0.001791152,,0.220824643,0.048763523,0.12193,0.014866925,,,,,,,,,,,,,
,1.35287,,-0.27287,0.074458037,-0.15094,0.022782884,0.033271039,,0.215764643,0.046554381,0.27287,0.074458037,,,,,,,,,,,,,
,1.34804,,0.17896,0.032026682,0.45183,0.204150349,-0.048832815,,0.210934643,0.044493424,-0.17896,0.032026682,,,,,,,,,,,,,
,1.34666,,0.07034,0.004947716,-0.10862,0.011798304,0.012588046,,0.209554643,0.043913148,-0.07034,0.004947716,,,,,,,,,,,,,
,1.34183,,0.12917,0.016684889,0.05883,0.003460969,0.009085818,,0.204724643,0.041912179,-0.12917,0.016684889,,,,,,,,,,,,,
,1.33953,,0.05147,0.002649161,-0.0777,0.00603729,0.00664838,,0.202424643,0.040975736,-0.05147,0.002649161,,,,,,,,,,,,,
,1.3278,,0.0412,0.00169744,-0.01027,0.000105473,0.002120564,,0.190694643,0.036364447,-0.0412,0.00169744,,,,,,,,,,,,,
,1.32734,,0.06466,0.004180916,0.02346,0.000550372,0.002663992,,0.190234643,0.036189219,-0.06466,0.004180916,,,,,,,,,,,,,
,1.32458,,0.11942,0.014261136,0.05476,0.002998658,0.007721697,,0.187474643,0.035146742,-0.11942,0.014261136,,,,,,,,,,,,,
,1.31952,,0.00848,7.19E-05,-0.11094,0.012307684,0.001012682,,0.182414643,0.033275102,-0.00848,7.19E-05,,,,,,,,,,,,,
,1.31101,,-0.14201,0.02016684,-0.15049,0.02264724,-0.001204245,,0.173904643,0.030242825,0.14201,0.02016684,,,,,,,,,,,,,
,1.31032,,-0.04732,0.002239182,0.09469,0.008966196,0.006719913,,0.173214643,0.030003313,0.04732,0.002239182,,,,,,,,,,,,,
,1.30756,,-0.03856,0.001486874,0.00876,7.67E-05,0.001824659,,0.170454643,0.029054785,0.03856,0.001486874,,,,,,,,,,,,,
,1.30411,,0.23589,0.055644092,0.27445,0.075322803,-0.009095918,,0.167004643,0.027890551,-0.23589,0.055644092,,,,,,,,,,,,,
,1.29882,,0.20918,0.043756272,-0.02671,0.000713424,0.04934347,,0.161714643,0.026151626,-0.20918,0.043756272,,,,,,,,,,,,,
,1.28985,,0.10415,0.010847222,-0.10503,0.011031301,0.021786097,,0.152744643,0.023330926,-0.10415,0.010847222,,,,,,,,,,,,,
,1.28824,,0.09276,0.008604418,-0.01139,0.000129732,0.009660954,,0.151134643,0.02284168,-0.09276,0.008604418,,,,,,,,,,,,,
,1.28824,,0.16876,0.028479938,0.076,0.005776,0.015654178,,0.151134643,0.02284168,-0.16876,0.028479938,,,,,,,,,,,,,
,1.26064,,-0.04364,0.00190445,-0.2124,0.04511376,-0.007364686,,0.123534643,0.015260808,0.04364,0.00190445,,,,,,,,,,,,,
,1.2588,,0.0952,0.00906304,0.13884,0.019276546,-0.004154528,,0.121694643,0.014809586,-0.0952,0.00906304,,,,,,,,,,,,,
